施設名,施設分類_大分類,施設分類_小分類,所管部課,所在地,地区,延べ床面積合計_m2,建築面積合計_m2,建築年度_最古棟,老朽化度,支出6年平均_円,減価償却費_円,利用者数_人,市民1人当たりコスト_円,利用者1人当たりコスト_円,出典PDF,出典ページ
竹島小学校,学校教育施設,小学校,,,蒲郡南,6055.0,,1973,3.0,42674000,,332,,,hakusho_r2kaitei.pdf,p.49
蒲郡中学校,学校教育施設,中学校,,,蒲郡南,9383.0,,1960,2.9,46614000,,489,,,hakusho_r2kaitei.pdf,p.53
三谷中学校,学校教育施設,中学校,,,三谷,8032.0,,1972,3.2,47637000,,299,,,hakusho_r2kaitei.pdf,p.53
塩津中学校,学校教育施設,中学校,,,塩津,7010.0,,1962,2.6,86280000,,262,,,hakusho_r2kaitei.pdf,p.53
大塚中学校,学校教育施設,中学校,,,大塚,7443.0,,1957,3.0,30175000,,162,,,hakusho_r2kaitei.pdf,p.53
形原中学校,学校教育施設,中学校,,,形原,8716.0,,1965,2.7,43418000,,490,,,hakusho_r2kaitei.pdf,p.53
西浦中学校,学校教育施設,中学校,,,西浦,7004.0,,1962,3.2,41536000,,108,,,hakusho_r2kaitei.pdf,p.53
中部中学校,学校教育施設,中学校,,,蒲郡北,7640.0,,1977,2.9,42733000,,347,,,hakusho_r2kaitei.pdf,p.53
ソフィア看護専門学校,学校教育施設,専門学校,,,蒲郡南,4418.0,,1998,2.3,134602000,,112,,,hakusho_r2kaitei.pdf,p.56
学校給食センター,学校教育施設,その他（学校教育）,,,三谷,3692.0,,2004,1.9,669622000,,1443801,,,hakusho_r2kaitei.pdf,p.57
本庁舎,庁舎等施設,庁舎・車庫,,,蒲郡北,19817.0,,1961,2.4,249432000,,,,,hakusho_r2kaitei.pdf,p.30
消防本部,消防・防災施設,消防署,,,蒲郡南,5061.0,,2009,1.0,498371000,,,,,hakusho_r2kaitei.pdf,p.88
東部出張所,消防・防災施設,消防署,,,三谷,439.0,,1969,2.7,,,,,,hakusho_r2kaitei.pdf,p.88
西部出張所,消防・防災施設,消防署,,,形原,305.0,,1966,3.3,,,,,,hakusho_r2kaitei.pdf,p.88
西部防災センター,消防・防災施設,消防資機材庫等,,,形原,1041.0,,1971,3.8,145000,,,,,hakusho_r2kaitei.pdf,p.89
三谷防災倉庫,消防・防災施設,消防資機材庫等,,,三谷,110.0,,1982,2.7,6000,,,,,hakusho_r2kaitei.pdf,p.89
形原防災倉庫,消防・防災施設,消防資機材庫等,,,形原,172.0,,1982,2.6,0,,,,,hakusho_r2kaitei.pdf,p.89
生命の海科学館,生涯学習施設,博物館等,,,蒲郡南,3297.0,,1998,3.3,106956000,,84785,,,hakusho_r2kaitei.pdf,p.40
博物館,生涯学習施設,博物館等,,,蒲郡北,2364.0,,1978,3.4,45738000,,32288,,,hakusho_r2kaitei.pdf,p.40
